0	926.05023366	437.139037361	567.583795876	643.591022299
1	928.30050549	472.9398	619.032492821	673.424266104
2	920.159482558	461.37839662	621.960993619	667.832957599
3	920.274542528	461.206804807	612.297072119	664.592806484
4	923.78952914	450.550423045	608.798792964	661.046248383
5	913.210081988	504.268062278	677.574486453	698.350876906
6	926.365871576	486.372408377	638.383379708	683.707219887
7	911.727868222	493.940903945	662.252175166	689.306982444
8	918.946643165	454.456123486	618.39507698	663.932614544
9	917.451917869	480.082284255	645.554297176	681.029499767
10	919.696384882	438.279903209	586.041359114	648.005882402
11	924.998367125	467.008110961	621.490758829	671.165745638
12	914.421550203	448.170402882	604.094919981	655.562291022
13	921.577828432	439.097046836	567.716980753	642.79728534
14	925.644707878	433.062405812	567.476565395	642.061226362
15	920.949792439	450.130209596	588.703885379	653.261295804
16	927.717596209	461.517613006	591.815284321	660.350164512
17	922.067219189	478.271344903	631.443214169	677.260592754
18	915.750467349	465.787274618	630.352900917	670.630214295
19	921.242513094	463.721238793	625.595693247	670.186481711
20	919.617601997	429.701027393	572.607198502	640.641942631
21	924.595474023	454.222590076	582.527776802	653.781946967
22	923.558020259	443.179907985	596.106514837	654.281481027
23	923.465212933	476.321274429	643.111580284	680.966022549
24	921.74121347	474.952939098	614.058011114	670.250721227
25	923.206286105	478.375137479	627.328947483	676.303457022
26	921.618710257	502.418805832	673.291691235	699.109735775
27	919.496053639	455.051118368	593.307549724	655.95157391
28	930.388047749	483.375186037	631.908413832	681.890549206
29	921.762711567	429.589661336	580.313191978	643.888521627
30	926.552409719	439.335499893	580.290374175	648.726094596
31	921.718726278	452.965221976	592.986690977	655.890213077
32	917.917532227	512.754275726	681.879907032	704.183904995
33	917.769253587	417.286932887	544.699960879	626.585382451
34	923.998459836	412.197992954	513.158054579	616.451502457
35	923.899710096	459.405046971	620.999116418	668.101291162
36	926.913184122	444.899161064	600.050330063	657.287558416
37	925.397404257	478.284838286	640.54214608	681.408129541
38	920.086502611	457.612307971	621.135394082	666.278068221
39	922.640337744	459.665811211	597.544684461	659.950277805
0	928.181999644	412.594891616	514.405649901	618.394180387
