0	99.4043284239	25.5954625356	56.4600509844
1	108.883780116	21.1620182346	52.3113825058
2	109.33642803	16.8476394382	47.3874787584
3	107.144349632	15.4514214894	45.8902308652
4	107.144349632	14.2293003936	45.8337565434
5	107.144349632	14.5096710177	44.9484803934
6	107.144349632	14.5096710177	44.9484803934
7	107.144349632	14.5096710177	44.9484803934
8	107.144349632	14.5096710177	44.9484803934
9	109.33642803	16.8476394382	47.3874787584
10	107.144349632	14.5096710177	44.9484803934
11	109.33642803	16.8476394382	47.3874787584
12	109.33642803	16.8476394382	47.3874787584
13	107.144349632	15.4514214894	45.8902308652
0	168.303932798	78.9876827355	103.928369566
1	176.23129273	60.9518244646	83.3624915059
2	197.42760193	58.3961671768	61.4923696168
3	173.813761232	58.9253262873	73.6313239169
4	187.153424518	56.8638067851	64.9440175512
5	211.367258249	58.7395631439	52.7741157478
6	211.367258249	58.7395631439	52.7741157478
7	211.367258249	58.7395631439	52.7741157478
8	210.776448528	58.496226108	52.6548227622
9	217.374654808	59.3002707102	58.5376096079
10	206.988678295	58.2201610655	54.2155369926
11	208.341305325	59.5762578989	55.6450939291
12	186.582548872	56.5654747857	65.9538423
13	196.691017457	58.0604465093	66.9410869911
0	321.972473673	199.40552669	212.30784837
1	338.029834954	148.845010047	145.710455945
2	347.851515692	125.529119285	75.976421918
3	333.637963017	147.926759253	136.202651719
4	350.37589989	122.324102622	78.2276906371
5	348.669508695	124.735865861	76.6281727976
6	348.669508695	124.787957391	76.5075066405
7	340.284852295	125.092616089	81.0345132201
8	364.701829987	120.707125509	64.0429718397
9	358.876512238	117.07563604	67.1034813595
10	360.729004306	124.9124732	67.8385364641
11	340.363356951	121.051528826	72.1549943071
12	354.610342726	122.050525858	78.9886726785
13	346.962334937	126.602053595	79.3619319064
0	318.829719352	96.4079771911	241.839059511
1	311.948124457	82.8031497592	226.816968686
2	327.431253666	79.0923422102	223.317053763
3	324.838140056	84.5323737256	226.331217865
4	375.127762405	80.4924038442	226.386676225
5	349.802858188	78.7607144936	220.559558633
6	349.802858188	78.7607144936	220.559558633
7	356.135414277	81.6117185897	224.872979509
8	356.135414277	80.624847724	223.886108643
9	345.544729379	77.1984153916	219.860960907
10	359.699352715	78.5270876311	220.32593177
11	358.562201064	78.8251093702	222.382117317
12	359.795731595	82.2882484184	226.512959972
13	341.008520096	82.6323973975	225.559806304
0	660.124331782	407.676961073	536.07014864
1	714.818932009	312.844662256	408.129991739
2	721.952051587	263.328431892	289.705203753
3	695.40583354	292.695890888	354.897758308
4	733.898348971	265.733666841	304.44745758
5	722.930190761	263.679990723	298.984235104
6	722.930190761	263.679990723	298.984235104
7	722.930190761	263.679990723	298.984235104
8	714.154530766	257.677586254	309.181769688
9	749.685553411	262.226013718	308.44587936
10	725.075936308	263.322135121	305.07134449
11	713.888080717	250.009029225	279.115092576
12	698.240820587	256.043733918	296.038581106
13	710.085141964	260.725562509	304.984188463
0	1259.70740932	976.527480813	1077.36421236
1	1311.68233411	670.60725745	669.647496578
2	1343.17270116	562.222619744	396.179294476
3	1274.52524601	669.891439931	634.79293285
4	1341.67705092	564.909547797	405.08686099
5	1322.68983996	554.155366093	342.623618896
